Monitoring Site,Inspection Period,Inspection Start Date,Collection Date,Region,County,Num. Colonies Inspected,Num. Colonies - No AFB Found,Num. Colonies with AFB (< 10 Cells),Num. Colonies with AFB (10 or More Cells),Num. Colonies - No EFB Found,Num. Colonies with EFB (< 10 Cells),Num. Colonies with EFB (10 or More Cells),Num. Colonies - No Chalkbrood Found,Num. Colonies with Chalkbrood (< 10 Cells),Num. Colonies with Chalkbrood (10 or More Cells),Num. Colonies - No Sacbrood Found,Num. Colonies with Sacbrood (< 10 Cells),Num. Colonies with Sacbrood (10 or More Cells),Num. Colonies with SHB Adults (1-20),Num. Colonies with SHB Adults (>20),Num. Colonies with SHB Larvae (1-20),Num. of Colonies with SHB Larvae (21-1/4cup),Num. Colonies with SHB Larvae (>1/4 cup),Average Varroa Infestation (%),Max Varroa Infestation (%),Num. Colonies - Queenless,Num. Colonies - Queenright,Num. Colonies - Queen Newly Installed,Num. Colonies - Virgin Queen,Num. Colonies - Queen Not Observed,% Colonies Queenless in Yard at Inspection,Acute Bee Paralysis Virus (log10 RNA copies/bee) - Average,Deformed Wing Virus (log10 RNA copies/bee) - Average,Israeli Acute Paralysis Virus (log10 RNA copies/bee) - Average,Nosema ceranae (log10 DNA copies/bee) - Average,Kashmir Bee Virus (log10 RNA copies/bee),Sacbrood Virus (log10 RNA copies/bee),Tracheal Mite Infestation (# bees infested per 25 bees tested)
1,1,06/27/19,6/27/19,East,LENNOX & ADDINGTON COUNTY,6,6,,,6,,,3,1,2,6,,,,,,,,0.89,1.67,,6,,,,0%,0,0,1.651,2.121,7.479,0,0
1,2,08/29/19,8/29/19,East,LENNOX & ADDINGTON COUNTY,6,6,,,6,,,1,1,4,4,2,,,,,,,4.17,9.00,1,5,,,,16.7%,0,0,5.806,1.813,0,0,0
1,3,09/24/19,9/24/19,East,LENNOX & ADDINGTON COUNTY,6,6,,,6,,,3,3,,6,,,,,,,,0.47,2.00,,5,,,,0%,0,5.162,5.482,1.417,6.009,0,0
2,1,06/11/19,6/11/19,South,HALTON REGION,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0.652,0.766,0,6.772,0,6.513,0
2,2,08/12/19,8/12/19,South,HALTON REGION,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,6.186,0.758,0,5.591,0,3.997,0
3,1,06/24/19,6/24/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.67,2.00,2,3,,1,,33.3%,0,3.272,3.123,5.389,0,5.230,0
3,2,08/09/19,8/9/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.33,1.33,2,3,,,,40.0%,5.602,8.051,0,6.401,0,0,0
3,3,10/15/19,10/15/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,1,1,,,,50.0%,8.096,8.904,0,3.637,0,9.294,0
4,1,06/26/19,6/26/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,3.723,0.906,4.037,0,9.013,0
4,2,08/26/19,8/26/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.78,2.33,,6,,,,0%,0,3.199,4.559,0.942,0,7.281,0
4,3,09/25/19,9/25/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.22,0.67,,6,,,,0%,0,7.336,4.776,0,0,4.950,0
5,1,06/28/19,6/28/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,0,0,,5,,1,,0%,3.824,1.641,0,6.274,0,8.799,0
5,2,08/08/19,8/8/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,,5,,1,,0%,7.741,0,0.848,4.268,0,0,0
5,3,10/14/19,10/14/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,5.56,10.33,1,5,,,,16.7%,6.587,5.872,0,3.905,0,0,0
6,1,06/17/19,6/17/19,South,OXFORD COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,,5,1,,,0%,0,0,0.910,7.217,0,9.558,0
6,2,07/23/19,7/23/19,South,OXFORD COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.11,0.33,,6,,,,0%,0.741,4.143,0.849,3.016,0,8.703,0
6,3,10/21/19,10/21/19,South,OXFORD COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,5.413,8.170,0,0,0,6.490,0
7,1,06/13/19,6/13/19,Central,BRUCE COUNTY,6,6,,,6,,,4,,2,6,,,,,,,,0.50,2.00,,6,,,,0%,0,0,3.583,7.473,7.281,9.167,0
7,2,07/22/19,7/22/19,Central,BRUCE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.33,0.67,,6,,,,0%,0,0,4.097,4.688,8.799,8.167,0
8,1,06/27/19,6/27/19,Central,DURHAM REGION,6,6,,,6,,,5,1,,6,,,,,,,,0.11,0.33,,6,,,,0%,0,0,5.084,4.903,0,9.688,0
8,2,08/26/19,8/26/19,Central,DURHAM REGION,6,6,,,6,,,6,,,6,,,,,,,,0.39,1.00,,5,1,,,0%,0,0,2.202,0.791,0,9.188,0
8,3,09/30/19,9/30/19,Central,DURHAM REGION,6,6,,,6,,,6,,,6,,,,,,,,0.89,2.67,,6,,,,0%,0,0,0,0,0,9.185,0
9,1,06/29/19,6/29/19,East,FRONTENAC,6,6,,,6,,,2,,4,6,,,,,,,,0.17,0.67,,6,,,,0%,0,1.427,6.367,6.796,8.210,0,0
9,2,08/03/19,8/3/19,East,FRONTENAC,6,6,,,6,,,5,1,,6,,,,,,,,0.60,1.67,1,5,,,,16.7%,0,1.402,2.438,6.288,0,0,2
9,3,09/08/19,9/8/19,East,FRONTENAC,6,6,,,6,,,4,1,1,6,,,,,,,,3.72,5.67,1,5,,,,16.7%,0,6.155,0,2.925,0,0,0
10,1,06/27/19,6/27/19,North,NIPISSING DISTRICT,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,0.776,0,6.959,0,5.624,0
10,2,08/09/19,8/9/19,North,NIPISSING DISTRICT,6,6,,,6,,,6,,,6,,,,,,,,0.33,1.67,,6,,,,0%,0,0,1.052,5.444,0,8.352,0
10,3,09/12/19,9/12/19,North,NIPISSING DISTRICT,5,5,,,5,,,5,,,5,,,,,,,,1.80,5.67,,5,,,,0%,4.025,2.017,2.333,6.454,0,8.728,0
11,1,06/17/19,6/17/19,South,OXFORD COUNTY,6,6,,,6,,,6,,,4,,2,,,,,,0.44,1.33,,6,,,,0%,0,0,1.231,7.019,6.301,9.143,0
11,2,07/23/19,7/23/19,South,OXFORD COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.39,1.00,,6,,,,0%,0,0,0,0.953,0,7.233,0
11,3,10/21/19,10/21/19,South,OXFORD COUNTY,4,4,,,4,,,4,,,4,,,,,,,,0.67,1.33,,4,,,,0%,6.655,7.447,0,1.672,0,8.365,0
12,1,06/06/19,6/6/19,South,NORFOLK COUNTY,6,6,,,6,,,6,,,6,,,,,,,,1.06,6.00,,5,,1,,0%,5.829,1.569,4.661,7.119,4.444,4.892,0
12,2,08/12/19,8/12/19,South,NORFOLK COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.83,3.33,,6,,,,0%,0.657,6.227,0,6.121,0,7.841,0
12,3,10/18/19,10/18/19,South,NORFOLK COUNTY,6,6,,,6,,,6,,,6,,,,,,,,5.89,10.33,,6,,,,0%,6.885,8.884,0,0,0,5.188,1
13,1,06/07/19,6/7/19,South,HAMILTON REGION,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,2.100,7.620,7.027,6.173,6.350,0
13,2,08/12/19,8/12/19,South,HAMILTON REGION,6,6,,,6,,,6,,,6,,,,,,,,0.11,0.67,,6,,,,0%,6.844,2.455,3.249,6.969,10.763,8.956,0
13,3,10/18/19,10/18/19,South,HAMILTON REGION,6,6,,,6,,,6,,,6,,,,,,,,0.56,2.67,,6,,,,0%,5.197,4.906,5.605,4.376,0,4.037,0
14,1,06/28/19,6/28/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,1.669,0.889,5.210,0,8.114,0
14,2,08/28/19,8/28/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.78,1.67,,6,,,,0%,0,5.802,0,2.068,0,8.164,0
14,3,09/24/19,9/24/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,1.22,2.00,,6,,,,0%,0,7.585,0,2.507,0,7.826,0
15,1,06/17/19,6/17/19,South,HURON COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.22,0.67,1,4,1,,,16.7%,0,0.787,1.691,6.902,0,9.185,0
15,2,07/23/19,7/23/19,South,HURON COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.11,0.33,,6,,,,0%,0,2.030,1.208,3.733,0,8.707,1
